	marka_pojazdu	model_pojazdu	rok_produkcji	przebieg	pojemnosc_skokowa	rodzaj_paliwa	moc	skrzynia_biegow	liczba_drzwi	kolor	rodzaj_koloru	kraj_pochodzenia	data_pierwszej_rejestracji_w_historii_pojazdu	zarejestrowany_w_polsce	stan	tytul	url	cena
0	MINI	Cooper	2011.0	78500.0	15983.0	Benzyna	122.0	Manualna	3.0	Pomaranczowy	Metalik	Wlochy	06 grudzien 2011	Tak	Uzywane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-coupe-bardzo-dobry-stan-niski-przebieg-ID6FNdTx.html	37900.0
1	MINI	ONE	2011.0	96000.0	15983.0	Benzyna	90.0	Manualna	3.0	Czarny	nan	nan	nan	nan	Uzywane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6-benzyna-96tys-km-przebiegu-fv-vat-23-ID6FRZFx.html	24800.0
2	MINI	Clubman	2013.0	97775.0	15983.0	Benzyna	98.0	Manualna	5.0	Bezowy	nan	nan	26 grudzien 2013	Tak	Uzywane	MINI Clubman	https://www.otomoto.pl/osobowe/oferta/mini-clubman-mini-clubman-one-ID6FNaw3.html	32900.0
3	MINI	Countryman	2013.0	99779.0	15983.0	Benzyna	184.0	Automatyczna	5.0	Czerwony	nan	nan	11 kwiecien 2013	Tak	Uzywane	MINI Countryman Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FAXnH.html	40000.0
4	MINI	ONE	2014.0	82000.0	11983.0	Benzyna	102.0	Manualna	3.0	Zielony	Metalik	Francja	nan	Tak	Uzywane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-niski-przebieg-ID6FTt0b.html	36900.0
5	MINI	Countryman	2011.0	82500.0	15983.0	Benzyna	122.0	Automatyczna	5.0	Granatowy	nan	nan	nan	nan	Uzywane	MINI Countryman Cooper	https://www.otomoto.pl/osobowe/oferta/mini-countryman-stan-bardzo-dobry-niski-przebieg-ID6FOr5i.html	37500.0
6	MINI	ONE	2010.0	75000.0	15983.0	Diesel	90.0	Manualna	3.0	Zielony	Metalik	Belgia	31 sierpien 2010	nan	Uzywane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6d-klimatronik-alu-niski-przebieg-gwarancja-ID6FPNI2.html	25900.0
7	MINI	Cooper	2008.0	99850.0	15603.0	Diesel	110.0	Manualna	3.0	Czarny	nan	nan	09 kwiecien 2008	nan	Uzywane	MINI Cooper D	https://www.otomoto.pl/osobowe/oferta/mini-cooper-bardzo-dobry-samachod-ID6FRD9M.html	18500.0
8	MINI	ONE	2012.0	85400.0	15983.0	Benzyna	75.0	Manualna	3.0	Czerwony	Metalik	Polska	09 pazdziernik 2012	Tak	Uzywane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-2012-85kkm-przebiegu-krajowy-ID6FWnnM.html	25000.0
9	MINI	Cooper	2010.0	61000.0	15983.0	Benzyna	122.0	Automatyczna	3.0	Zolty	Matowy	nan	styczen 2010	Tak	Uzywane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-bogata-wersja-maly-przebieg-ID6FWlBG.html	29000.0
